Feature,Status,Version,Type,Description,Notes
Public booking flow (4 steps),Shipped,V1,Client,Time -> details -> intake -> review with horizontal slide animation,Core MVP flow
Stripe checkout deposit payment,Shipped,V1,Client,Deposit calculated from service config (flat or percent),Card Apple Pay Google Pay Cash App Pay supported
Recurring booking (weekly biweekly monthly),Shipped,V1,Client,N occurrences with overlap validation,
Waitlist join when no slots available,Shipped,V1,Client,Per-slot waitlist with provider approval flow,
Cover image + avatar with crop modal,Shipped,V1,Provider,3:1 cover crop and circular avatar crop. R2 storage.,
Intake questions (text dropdown checkbox),Shipped,V1,Provider,Required toggle. Per-service config.,
Add-on groups with selection rules,Shipped,V1,Provider,Optional / exactly-one / at-least-one,
Mandatory add-ons (always included),Shipped,V1,Provider,Pre-checked at booking time,
Coupon validation + apply at booking,Shipped,V1,Client,Flat $ or percent. Optional service scoping + max uses + expiration.,
Inspiration photo upload (optional),Shipped,V1,Client,Per-service toggle. Uploaded to R2.,
Self-manage from email link (reschedule/cancel),Shipped,V1,Client,Token-authenticated. Sends new confirmation on reschedule.,
Pay balance from completion email,Shipped,V1,Client,Separate Stripe checkout for remaining balance. Sends receipt.,
Tip after completion,Shipped,V1,Client,$1-100 range. Presets + custom amount.,
Anonymous feedback (1-2000 chars),Shipped,V1,Client,Optional star rating. Provider toggles public/private.,
Provider dashboard Today view,Shipped,V1,Provider,KPIs + timeline + recent activity feed,
Provider calendar (week + month),Shipped,V1,Provider,Drag to block time. Click slot to create.,
Appointment history with time buckets,Shipped,V1,Provider,Today / Tomorrow / This week / Future / Past,
Client management with internal notes,Shipped,V1,Provider,Lifetime spend + first visit. Notes never shown to client.,
Services management with side drawer,Shipped,V1,Provider,Hide/show toggle. Per-service public URL.,
Availability hours + time-off blocks,Shipped,V1,Provider,Weekly recurring schedule. Date-range time-off.,
Portfolio masonry with R2 upload,Shipped,V1,Provider,Hide/unhide individual assets. CSS columns layout.,
Money page with chart + CSV export,Shipped,V1,Provider,Range/granularity controls. Net/Revenue/Lost modes.,
Public reviews page,Shipped,V1,Client,Aggregate rating + individual public reviews,
Waitlist management,Shipped,V1,Provider,Active/Available/Approved/Declined tabs,
Coupons CRUD,Shipped,V1,Provider,Percent or flat. Service scoping. Max uses. Expiration.,
Provider <-> client messaging,Shipped,V1,Provider,Tied to appointments. Text only - no typing indicators.,
Message templates editor (per type),Shipped,V1,Provider,Email + SMS body + subject. Variable substitution. Preview pane.,
CSV imports (clients from Square Acuity etc),Shipped,V1,Provider,Match by email. Up to 5k rows. 5MB max.,
CSV exports (Appointments Clients Transactions),Shipped,V1,Provider,Async with R2 download. Status polling.,
24h + 1h reminders (SMS + Email),Shipped,V1,Provider,Per-channel toggles. Editable templates. Delivery stats.,
Profile editor (cover bio location socials),Shipped,V1,Provider,Sticky save bar. Books open/close + scheduled opening.,
Booking window controls (1wk 2wk 1mo 3mo 1yr),Shipped,V1,Provider,How far ahead clients can book,
Buffer time between appointments,Shipped,V1,Provider,0 / 5 / 10 / 15 / 30 / 45 / 60 min,
Books closed banner with auto-open countdown,Shipped,V1,Both,Public profile shows scheduled opening time,
Sentry error monitoring,Shipped,V1,Infrastructure,Wired in next.config.js. DSN configured.,
Rate limiting on public endpoints,Shipped,V1,Infrastructure,Redis-backed sliding window. No-op fallback when Redis unavailable.,
Webhook idempotency on Stripe events,Shipped,V1,Infrastructure,Checks event.id before processing,
Event sourcing for appointment status changes,Shipped,V1,Infrastructure,Every status change creates AppointmentEvent row,
Privacy + Terms pages,Shipped,V1,Admin,Template - replace with attorney-reviewed version when scaling past 25 providers,
404 + global error pages on-brand,Shipped,V1,Both,Editorial 404 + try-again error page,
Provider onboarding wizard,Spec'd,V1,Provider,5 steps: business+slug -> photo+bio -> first service -> hours -> review. THE V1 BLOCKER.,16h estimate. Block dashboard access until complete.
Stripe Connect Standard onboarding,Idea,V1,Provider,Schema has stripeAccountId. Need UI + callbacks.,~24h. Defer until 5+ active providers.
Production deploy (Vercel + Railway + custom domain),Spec'd,V1,Infrastructure,Phase D in launch playbook,~6h
Notifications page (Inbox or Settings),Idea,V1,Provider,Currently broken (legacy log view). Decide direction.,Open question - see Decisions doc.
Phone field on Provider,Killed,V1,Provider,Schema gap. Not worth adding for beta - email + IG cover contact.,
Follow-up reminder timing (after appointment),Killed,V1,Provider,Schema gap on hoursBefore. Defer to V2.,
Rebook nudge 4 weeks after last appointment,Killed,V1,Provider,Schema gap. Defer to V2.,
Per-reminder custom message copy,Killed,V1,Provider,Schema gap. MessageTemplate is provider-wide per type.,
Per-event notification preferences,Killed,V1,Provider,No schema. Beta providers want all notifications.,
Two-way Google Calendar sync,Killed,V2,Provider,Out of V1 scope per claude.md guardrails,
Analytics dashboard beyond money page,Killed,V2,Provider,Out of V1 scope,
Loyalty / rewards program,Killed,V2,Both,Out of V1 scope,
Gift cards,Killed,V2,Client,Out of V1 scope,
Boosted listings / paid placement,Killed,Out of scope,Admin,Never. Pay-to-play in beauty has a bad smell.,
Multi-currency support,Killed,V2,Infrastructure,US-only for now,
Multi-language UI,Killed,V2,Both,English only,
Instant payouts,Killed,V2,Provider,Wait for Stripe Connect maturity,
Inventory / expense tracking,Killed,Out of scope,Provider,Wrong scope. Providers use QuickBooks.,
Education marketplace,Killed,Out of scope,Admin,Different product. Spin out maybe.,
Mobile app (Expo) for providers + clients,Idea,V2,Both,Stubbed in apps/mobile. Defer until 50+ providers OR clear signal.,
Custom Clerk domain (clerk.porobook.com),Idea,V1,Infrastructure,Requires Clerk Pro tier,
Custom R2 media domain (media.porobook.com),Idea,V1,Infrastructure,Cleaner image URLs. CNAME from DNS.,
Provider portfolio video upload,Idea,V2,Provider,Schema supports VIDEO type. UI doesn't.,Storage + transcoding cost. Wait for demand.
Provider verification self-serve flow,Idea,V2,Provider,Currently admin-set in Prisma. Build review queue + ID upload at 20+ providers.,
Provider verification badge issuance,Idea,V2,Admin,Tracks verification date + verifier,
